Task ID,Room,Task,Frequency,Last Completed,,,Notes
1,Living + Dining,General Dusting,Weekly,2026-01-02,,,
2,Living + Dining,Vacuum sofa,Weekly,2026-01-02,,,
3,Living + Dining,Clean play mat,Weekly,2026-01-02,,,
4,Living + Dining,Spot-clean walls & fingerprints,Monthly,2026-01-02,,,
5,Living + Dining,Organise toys (living room and kids bedroom),Weekly,2026-01-02,,,
6,Living + Dining,Wipe windows & grilles (inside),Monthly,2026-01-02,,,
7,Living + Dining,Clean ceiling fans,Monthly,2026-01-02,,,
8,Living + Dining,Vacuum under sofa,Monthly,2026-01-02,,,
9,Living + Dining,Polish table,Monthly,2026-01-02,,,
10,Living + Dining,Refresh dehumidifers,Quarterly,2026-01-02,,,
11,Living + Dining,Air out shoes,Monthly,2026-01-02,,,
12,Living + Dining,Vacuum sofa,Weekly,2026-01-02,,,
13,Living + Dining,Replace cushion covers,Monthly,2026-01-02,,,
14,Living + Dining,Change doormat,Monthly,2026-01-02,,,
15,Living + Dining,Sweep the entrance,Weekly,2026-01-02,,,
16,Living + Dining,Vacuum curtains,Quarterly,2026-01-02,,,
17,Living + Dining,Replace ant bait,Quarterly,2026-01-02,,,
18,Kitchen,Wipe cabinet doors & handles,Weekly,2026-01-02,,,
19,Kitchen,"Wipe appliances: fridge, oven, kettle, rice cooker, blender, microwave etc",Weekly,2026-01-02,,,
20,Kitchen,Wash dish rack & sponge holder,Weekly,2026-01-02,,,
21,Kitchen,Replace kitchen cleaning cloth,Monthly,2026-01-02,,,
22,Kitchen,Clean fridge,Monthly,2026-01-02,,,
23,Kitchen,Deep-clean dishwasher,Monthly,2026-01-02,,,
24,Kitchen,"Deep-clean sink: clean strainer, drain cover, put Mr.Muscle",Weekly,2026-01-02,,,
25,Kitchen,Deep clean vessel holder and bottle dryer,Monthly,2026-01-02,,,
26,Kitchen,Deep clean stove hood filters & backsplash,Monthly,2026-01-02,,,
27,Kitchen,Declutter snacks cupboard,Weekly,2026-01-02,,,
28,Kitchen,Organise food pantry and remove expired food,Monthly,2026-01-02,,,
29,Kitchen,Deep clean stove and backsplash,Weekly,2026-01-02,,,
29,Yard,"Deep-clean sink: clean strainer, drain cover, put Mr.Muscle",Monthly,2026-01-02,,,
30,Yard,Wipe washing machine exterior,Weekly,2026-01-02,,,
31,Yard,Clean washer/dryer lint filter and water collector,Weekly,2026-01-02,,,
32,Yard,Deep clean washing machine,Quarterly,2026-01-02,,,
33,Yard,Clean sink pipe trap,Quarterly,2026-01-02,,,
34,Yard,Wash/ replace mop heads,Monthly,2026-01-02,,,
35,Yard,Wash broom and dustpan,Monthly,2026-01-02,,,
36,Yard,Clean vacuum dust holder,Monthly,2026-01-02,,,
37,Yard,Declutter yard area,Quarterly,2026-01-02,,,
38,Bathroom,Descale shower head & taps,Quarterly,2026-01-02,,,
39,Bathroom,Clean common bathroom,Weekly,2026-01-02,,,
40,Bathroom,Clean master bathroom,Weekly,2026-01-02,,,
41,Bathroom,Declutter toilettries area,Monthly,2026-01-02,,,
42,Bedrooms,Dust surfaces (bedside tables),Monthly,2026-01-02,,,
43,Bedrooms,Change bedsheets,Weekly,2026-01-02,,,
44,Bedrooms,Vacuum mattress,Weekly,2026-01-02,,,
45,Bedrooms,Wipe and declutter desk,Weekly,2026-01-02,,,
46,Bedrooms,Vacuum under desk and chair,Monthly,2026-01-02,,,
47,Bedrooms,Wash pillow protectors / mattress protector,Quarterly,2026-01-02,,,
48,Bedrooms,Vacuum under/behind bed,Quarterly,2026-01-02,,,
49,Bedrooms,Wipe down wardrobe doors,Quarterly,2026-01-02,,,
50,Bedrooms,Vacuum under bed / behind storage boxes,Monthly,2026-01-02,,,
51,Bedrooms,Separate outgrown kids clothes; bag donations,Quarterly,2026-01-02,,,
52,Living + Dining,"Remove trash from strollers, wipe down",Weekly,2026-01-02,,,
53,Whole House,Clean trash bins (rinse & dry),Monthly,2026-01-02,,,
54,Bedrooms,Wash and replace kids sleeping bag sheets from school,Weekly,2026-01-02,,,